title,authors,journal,doi,all_authors,openalex_id
A Sustainable and Scalable Paradigm for Multidimensional Pollution Control of Livestock Wastewater Using Millimeter-Scale Bimetallic Chitosan Beads,"Yudan Dong, Shu-Run Yang, Yunzhe Zheng, ... , Bo Lai (n=10)",ACS ES&T Engineering,https://doi.org/10.1021/acsestengg.5c00241,Yudan Dong; Shu-Run Yang; Yunzhe Zheng; Jiamei Liu; Xin Wang; Peng Zhou; Jing Zhang; Zhaokun Xiong; Chuan-Shu He; Bo Lai,https://openalex.org/W4410918520
Salinity Stress Modulates the Dynamic Co-occurrence Interactions between DOM and Microbial Community Profiles in a Typical River–Estuary–Ocean Continuum: From the Pearl River to South China Sea,"Chao Zhang, Yingqiang Li, Junyu Zhu, ... , Mingzhi Huang (n=15)",ACS ES&T Water,https://doi.org/10.1021/acsestwater.4c00832,Chao Zhang; Yingqiang Li; Junyu Zhu; Zhe Zhang; Yue Xie; Shuna Fu; Wanbing Zheng; Zihan Shen; Bangxing Ren; Zhenguo Chen; Haijun He; Guang‐Guo Ying; Harald Horn; Amy M. McKenna; Mingzhi Huang,https://openalex.org/W4409221965
Revealing the Role of Biochar-Derived Dissolved Organic Matter during the Degradation of Sulfamethoxazole by Zero-Valent Iron-Activated Persulfate,"Chunhui Zhang, Jing Ji, Huijie Hu, ... , Hongwen Sun (n=8)",ACS ES&T Water,https://doi.org/10.1021/acsestwater.5c00603,Chunhui Zhang; Jing Ji; Huijie Hu; F. Y. Li; Ruomeng Li; Peng Zhang; Cuiping Wang; Hongwen Sun,https://openalex.org/W4414728075
"Molecular Evidence of the Promotion of Refractory Dissolved Organic Matter through Anthropogenic DOM Inputs to the Fen River, China","Gong Chen, Shouliang Huo, Jingtian Zhang, Hanxiao Zhang, Nanyan Weng",ACS ES&T Water,https://doi.org/10.1021/acsestwater.5c00465,Gong Chen; Shouliang Huo; Jingtian Zhang; Hanxiao Zhang; Nanyan Weng,https://openalex.org/W4412603753
Heteroatoms in Dissolved Organic Matter: Their Role in Adsorption and Dynamic Assembly on Activated Carbon,"Jian Liu, Shaohua Chen, Ying Xu, ... , Jianzhi Huang (n=7)",ACS ES&T Water,https://doi.org/10.1021/acsestwater.5c00409,Jian Liu; Shaohua Chen; Ying Xu; Mengyi Shi; Kai Zhang; Othman Al‐Mashaqbeh; Jianzhi Huang,https://openalex.org/W4411175011
Microbial Control on Dissolved Organic Matter Composition along the South-to-North Water Diversion Middle Route Project,"Peilian Zhang, Hanxiao Zhang, Zhanyao Shi, ... , Shouliang Huo (n=6)",ACS ES&T Water,https://doi.org/10.1021/acsestwater.5c00138,Peilian Zhang; Hanxiao Zhang; Zhanyao Shi; Weihui Huang; Jing Wang; Shouliang Huo,https://openalex.org/W4409835841
Effects of Eluate Drying on the Chemodiversity of Dissolved Organic Matter Revealed by Ultrahigh-Resolution Mass Spectrometry,"Xinyi Chen, Qing‐Long Fu, Ziyong Sun",ACS Measurement Science Au,https://doi.org/10.1021/acsmeasuresciau.5c00055,Xinyi Chen; Qing‐Long Fu; Ziyong Sun,https://openalex.org/W4411817781
Molecular Fingerprints and Reactivity Evolution of Dissolved Organic Matter Leached from Coal under Geothermal Conditions,"Zepeng Wan, Peng Lu, Sha Yang, ... , Baisheng Nie (n=6)",ACS Omega,https://doi.org/10.1021/acsomega.5c08211,Zepeng Wan; Peng Lu; Sha Yang; Yangcheng Xu; Yanqing Wu; Baisheng Nie,https://openalex.org/W7116828465
Medium molecular weight carbon fractions of DOM: Driving soil microbial community differentiation and soil organic carbon sequestration,"Jinkang Yang, Yanan Ren, Shaomin Huang, ... , Xiaolei Jie (n=9)",Agriculture Ecosystems & Environment,https://doi.org/10.1016/j.agee.2025.109688,Jinkang Yang; Yanan Ren; Shaomin Huang; Liping Weng; Yongtao Li; Hongen Liu; Peng Zhao; Long Wang; Xiaolei Jie,https://openalex.org/W4409536025
Weak Anion-Exchange Chromatography Coupled with FT-ICR MS Resolves Polarity-Driven Molecular Signatures in Natural and Anthropogenic Dissolved Organic Matter,"Joseph W. Frye, Lissa C. Anderson, Winston K. Robbins, ... , Martha L. Aguilera (n=11)",Analytical Chemistry,https://doi.org/10.1021/acs.analchem.5c05562,Joseph W. Frye; Lissa C. Anderson; Winston K. Robbins; Germain Salvato Vallverdu; A Santiago Rodriguez; Mason C. Hagan; Alan G. Marshall; Brice Bouyssière; Pierre Giusti; R. C. Rodgers; Martha L. Aguilera,https://openalex.org/W7116692268
Development of a Nontargeted Algorithm for Per- and Polyfluoroalkyl Substances in the FT-ICR Mass Spectra of Complex Organic Mixtures,"Qing‐Long Fu, Yanhui Cheng, Jibao Liu, ... , Yanxin Wang (n=8)",Analytical Chemistry,https://doi.org/10.1021/acs.analchem.4c06674,Qing‐Long Fu; Yanhui Cheng; Jibao Liu; Lee Blaney; Caiming Tang; Manabu Fujii; Pingqing Fu; Yanxin Wang,https://openalex.org/W4408172077
"Chemodiversity of coastal seawater dissolved organic matter shaped by wastewater treatment plant effluent in Tokyo Bay, Japan","Yanhui Cheng, Jibao Liu, Manabu Fujii, Qing‐Long Fu",Applied Geochemistry,https://doi.org/10.1016/j.apgeochem.2025.106292,Yanhui Cheng; Jibao Liu; Manabu Fujii; Qing‐Long Fu,https://openalex.org/W4406649357
Long-term manure fertilization enhances red soil organic carbon storage,"Hongqin Zou, Changai Lu, Lu Zhang, ... , Lauren Hale (n=6)",Applied Soil Ecology,https://doi.org/10.1016/j.apsoil.2025.106644,Hongqin Zou; Changai Lu; Lu Zhang; Minggang Xu; Yinghua Duan; Lauren Hale,https://openalex.org/W4416716176
