year,title,authors_short,all_authors,journal,doi,openalex_id
2004,Discovery of Ovarian Cancer Biomarkers in Serum Using NanoLC Electrospray Ionization TOF and FT‐ICR Mass Spectrometry,"H. Robert Bergen, George Vasmatzis, William A. Cliby et al. (n=6)",H. Robert Bergen; George Vasmatzis; William A. Cliby; Kenneth L. Johnson; Ann L. Oberg; David C. Muddiman,Disease Markers,https://doi.org/10.1155/2004/797204,https://openalex.org/W2056213160
2005,Quantitative mass spectral evidence for the absence of circulating brain natriuretic peptide (BNP-32) in severe human heart failure,"Adam M. Hawkridge, Denise M. Heublein, H. Robert Bergen et al. (n=6)",Adam M. Hawkridge; Denise M. Heublein; H. Robert Bergen; Alessandro Cataliotti; John C. Burnett; David C. Muddiman,Proceedings of the National Academy of Sciences,https://doi.org/10.1073/pnas.0508782102,https://openalex.org/W2016023383
2006,Biomarker discovery and preclinical validation using mouse models of lung cancer.,"Alice T. Shaw, Michael A. Gillette, James A. Dowdle et al. (n=9)",Alice T. Shaw; Michael A. Gillette; James A. Dowdle; Betty Chang; Veronica Saenz-Vash; Karl Clauser; Jacob D. Jaffe; Steven A. Carr; Tyler Jacks,Cancer Research,,https://openalex.org/W2689967720
2006,A Serum Glycomics Approach to Breast Cancer Biomarkers,"Crystal Kirmiz, Bensheng Li, Hyun Joo An et al. (n=12)",Crystal Kirmiz; Bensheng Li; Hyun Joo An; Brian H. Clowers; Helen K. Chew; Kit S. Lam; Anthony Ferrige; Robert Alecio; Alexander D. Borowsky; Shola S. Sulaimon; Carlito B. Lebrilla; Suzanne Miyamoto,Molecular & Cellular Proteomics,https://doi.org/10.1074/mcp.m600171-mcp200,https://openalex.org/W2111007726
2007,Serum glycan analysis in metastatic breast cancer,"Helen K. Chew, Suzanne Miyamoto, Hyun Joo An et al. (n=5)",Helen K. Chew; Suzanne Miyamoto; Hyun Joo An; David M. Rocke; Carlito B. Lebrilla,Journal of Clinical Oncology,https://doi.org/10.1200/jco.2007.25.18_suppl.11504,https://openalex.org/W2280785741
2008,Detecting glycan cancer biomarkers in serum samples using MALDI FT-ICR mass spectrometry data,"Donald A. Barkauskas, Hyun Joo An, Scott Kronewitter et al. (n=10)",Donald A. Barkauskas; Hyun Joo An; Scott Kronewitter; Maria Lorna A. De Leoz; Helen K. Chew; Ralph W. de Vere White; Gary S. Leiserowitz; Suzanne Miyamoto; Carlito B. Lebrilla; David M. Rocke,Bioinformatics,https://doi.org/10.1093/bioinformatics/btn610,https://openalex.org/W2108403321
2008,Mass spectrometry based proteomic analysis of tissue and serum for breast cancer biomarkers,"Ming Lu, Stephen A. Whelan, Jianbo He et al. (n=7)",Ming Lu; Stephen A. Whelan; Jianbo He; Julian P. Whitelegge; Kym F. Faull; Romaine E. Saxton; Helena R. Chang,Cancer Research,,https://openalex.org/W2967987894
2009,Developments of cancer biomakers : a glyco-oriented approach,Jeong‐Heon Ko,Jeong‐Heon Ko,한국당과학회 학술대회,,https://openalex.org/W3175116705
2010,"Abstract 4560: Integrative proteomic profiling of pancreatic cancer cell line supernatants, pancreatic juice and ascites fluid for the identification of novel pancreatic cancer biomarkers","Shalini Makawita, Christopher R. Smith, Ihor Batruch et al. (n=5)",Shalini Makawita; Christopher R. Smith; Ihor Batruch; Felix Rückert; Eleftherios P. Diamandis,Cancer Research,https://doi.org/10.1158/1538-7445.am10-4560,https://openalex.org/W2155530557
2010,Abstract 4574: Mining the proteome of breast cancer cell lines and nipple aspirate fluid in the quest for novel breast cancer biomarkers,"Maria Pavlou, Edward R. Sauter, Beth Kliethermes et al. (n=4)",Maria Pavlou; Edward R. Sauter; Beth Kliethermes; Eleftherios P. Diamandis,Cancer Research,https://doi.org/10.1158/1538-7445.am10-4574,https://openalex.org/W1997352005
