year,title,authors_short,all_authors,journal,doi,subdisciplines,n_subdisciplines
2001,Electrospray Ionization Fourier Transform Ion Cyclotron Resonance Mass Spectrometry of Dissolved Organic Phosphorus Species in a Treatment Wetland after Selective Isolation and Concentration,"Jennifer M. Llewelyn, William M. Landing, Alan G. Marshall et al. (n=4)",Jennifer M. Llewelyn; William M. Landing; Alan G. Marshall; William Cooper,Analytical Chemistry,https://doi.org/10.1021/ac010909f,atmosphere_aerosol; biogeochem_carbon; estuary_coastal; marine; methods_instrumentation; wetland_peatland,6
2001,High-Resolution Fourier Transform Ion Cyclotron Resonance Mass Spectrometry of Humic and Fulvic Acids:  Improvements and Comparisons,"Elizabeth B. Kujawinski, Patrick G. Hatcher, Michael A. Freitas",Elizabeth B. Kujawinski; Patrick G. Hatcher; Michael A. Freitas,Analytical Chemistry,https://doi.org/10.1021/ac0108313,biogeochem_carbon; freshwater_river; methods_instrumentation,3
2001,A letter from West Sussex,Martin White,Martin White,International Journal of Information Management,https://doi.org/10.1016/s0268-4012(00)00052-9,groundwater; marine; sediment_porewater,3
2003,Preparation of microporous activated carbon from coconut shells without activating agents,"Wei Su, Li Zhou, Yaping Zhou",Wei Su; Li Zhou; Yaping Zhou,Carbon,https://doi.org/10.1016/s0008-6223(03)00003-4,wastewater_drinking,1
2003,Ecological aspects of dissolved organic matter in soils,"Karsten Kalbitz, Klaus Kaiser",Karsten Kalbitz; Klaus Kaiser,Geoderma,https://doi.org/10.1016/s0016-7061(02)00359-2,biogeochem_carbon; estuary_coastal; marine; soil_terrestrial,4
2004,Organic phosphorus speciation in natural waters by mass spectrometry.,"William Cooper, Jennifer M. Llewelyn, Genevieve Bennett et al. (n=5)",William Cooper; Jennifer M. Llewelyn; Genevieve Bennett; Alexandra C. Stenson; Vincent J. M. Salters,CABI Publishing eBooks,https://doi.org/10.1079/9780851998220.0045,biogeochem_carbon; methods_instrumentation; soil_terrestrial; wetland_peatland,4
2004,Establishing a molecular evidence for the outwelling of dissolved organic matter from mangroves,"Thorsten Dittmar, Boris Koch, Norbert Hertkorn et al. (n=6)",Thorsten Dittmar; Boris Koch; Norbert Hertkorn; Kenia Whitehead; William Cooper; Gerhard Kattner,Helmholtz-Zentrum für Polar-und Meeresforschung (Alfred-Wegener-Institut),,biogeochem_carbon; estuary_coastal; marine; sediment_porewater; soil_terrestrial; wetland_peatland,6
2004,Characterization of dissolved organic matter by ultrahigh resolution Electrospray-Ionisation Fourier-Transform Ion-Cyclotron-Resonance-Mass-Spectrometry,Boris Koch,Boris Koch,Helmholtz-Zentrum für Polar-und Meeresforschung (Alfred-Wegener-Institut),,biogeochem_carbon,1
2004,Probing molecular-level transformations of dissolved organic matter: insights on photochemical degradation and protozoan modification of DOM from electrospray ionization Fourier transform ion cyclotron resonance mass spectrometry,"Elizabeth B. Kujawinski, Rossana Del Vecchio, Neil V. Blough et al. (n=5)",Elizabeth B. Kujawinski; Rossana Del Vecchio; Neil V. Blough; Geoffrey C. Klein; Alan G. Marshall,Marine Chemistry,https://doi.org/10.1016/j.marchem.2004.06.038,biogeochem_carbon; estuary_coastal; marine; methods_instrumentation,4
2004,Hydrogen-deficient molecules in natural riverine water samples—evidence for the existence of black carbon in DOM,"Sunghwan Kim, Louis A. Kaplan, Ronald Benner et al. (n=4)",Sunghwan Kim; Louis A. Kaplan; Ronald Benner; Patrick G. Hatcher,Marine Chemistry,https://doi.org/10.1016/j.marchem.2004.06.042,atmosphere_aerosol; biochar_black_carbon; biogeochem_carbon; groundwater; methods_instrumentation,5
