year,title,authors_short,all_authors,journal,doi,openalex_id
2000,EDIACARAN FOSSILS FROM THE SOUTHWESTERN GREAT BASIN,"James W. Hagadorn, Ben Waggoner",James W. Hagadorn; Ben Waggoner,Environmental Science Processes & Impacts,https://doi.org/10.1039/d3em00267e,https://openalex.org/W38205846
2001,Trafic d'ADN polymérases lors de la réplication de l'ADN endommagé chez Escherichia coli,Olivier J. Bécherel,Olivier J. Bécherel,Journal of Agricultural and Food Chemistry,https://doi.org/10.1021/acs.jafc.3c00816,https://openalex.org/W37155707
2001,"Desarrollo sustentable, medio ambiente y minería. Distrito Pichidegua, Provincia Cachapoal, VI Región","Quezada Carrazana, Jorge Antonio",Quezada Carrazana; Jorge Antonio,Revista de geografía Norte Grande,https://doi.org/10.1039/d4an00301b,https://openalex.org/W38629585
2002,Merck’s Eusolex filters based on ultrafine TiO2,,,Focus on Pigments,https://doi.org/10.1016/s0969-6210(02)00935-9,https://openalex.org/W4253634904
2004,LC-MS analysis in the aquatic environment and in water treatment technology ? a critical review,"Christian Zwiener, Fritz H. Frimmel",Christian Zwiener; Fritz H. Frimmel,Analytical and Bioanalytical Chemistry,https://doi.org/10.1007/s00216-003-2412-1,https://openalex.org/W2016251771
2004,Could You Be More Specific? Examples as Crucial Arguments in Discourse on “Others”,"Jana Holšánová, David Wästerfors",Jana Holšánová; David Wästerfors,The Science of The Total Environment,https://doi.org/10.1016/j.scitotenv.2023.166282,https://openalex.org/W37597558
2005,"Tres escritoras proféticas: Ana María Fagundo, Olga Orozco y María Rosa Lojo",Silvia Sauter,Silvia Sauter,Dialnet (Universidad de la Rioja),https://doi.org/10.1016/j.talanta.2015.11.068,https://openalex.org/W26838378
2005,Determinación y tratamientos,"Pedro Arrillaga Anabitarte, J. Avilés Amat, Xabier Laskibar",Pedro Arrillaga Anabitarte; J. Avilés Amat; Xabier Laskibar,Munibe. Suplemento,https://doi.org/10.1016/j.watres.2020.116546,https://openalex.org/W33125991
2005,Prostitución y Derecho,Isabel Caro-Patón Carmona,Isabel Caro-Patón Carmona,Revista de Administración Pública,https://doi.org/10.1038/s41598-018-34335-5,https://openalex.org/W30442967
2005,Functional genomics by integrated analysis of metabolome and transcriptome of Arabidopsis plants over‐expressing an MYB transcription factor,"Takayuki Tohge, Yasutaka Nishiyama, Masami Yokota Hirai et al. (n=13)",Takayuki Tohge; Yasutaka Nishiyama; Masami Yokota Hirai; Mitsuru Yano; Jun‐ichiro Nakajima; Motoko Awazuhara; Eri Inoue; Hideki Takahashi; Dayan B. Goodenowe; Masahiko Kitayama; Masaaki Noji; Mami Yamazaki; Kazuki Saito,The Plant Journal,https://doi.org/10.1111/j.1365-313x.2005.02371.x,https://openalex.org/W2115831900
2008,Devenir sportif de haut niveau : approche sociologique de la formation et de l'expression de l'excellence athlétique,Lucie Forté,Lucie Forté,Chemosphere,https://doi.org/10.1016/j.chemosphere.2016.03.090,https://openalex.org/W27081795
2008,Analysis of musk fragrances in environmental samples,Kai Bester,Kai Bester,Journal of Chromatography A,https://doi.org/10.1016/j.chroma.2008.08.093,https://openalex.org/W2085103176
2008,Characterization of atenolol transformation products on light‐activated TiO <sub>2</sub> surface by high‐performance liquid chromatography/high‐resolution mass spectrometry,"Claudio Medana, Paola Calza, Francesco Carbone et al. (n=6)",Claudio Medana; Paola Calza; Francesco Carbone; Ezio Pelizzetti; Hisao Hidaka; Claudio Baiocchi,Rapid Communications in Mass Spectrometry,https://doi.org/10.1002/rcm.3370,https://openalex.org/W2000889242
2008,Characterization of atenolol transformation products on light‐activated TiO <sub>2</sub> surface by high‐performance liquid chromatography/high‐resolution mass spectrometry,"Claudio Medana, Paola Calza, Francesco Carbone et al. (n=6)",Claudio Medana; Paola Calza; Francesco Carbone; Ezio Pelizzetti; Hisao Hidaka; Claudio Baiocchi,Rapid Communications in Mass Spectrometry,https://doi.org/10.1002/rcm.3860,https://openalex.org/W4250332174
2009,Fate of antibacterial spiramycin in river waters,"Paola Calza, Sara Marchisio, Claudio Medana et al. (n=4)",Paola Calza; Sara Marchisio; Claudio Medana; Claudio Baiocchi,Analytical and Bioanalytical Chemistry,https://doi.org/10.1007/s00216-009-3318-3,https://openalex.org/W1980858948
2009,The Challenge of the Identification and Quantification of Transformation Products in the Aquatic Environment Using High Resolution Mass Spectrometry,"Juliane Hollender, Heinz Singer, Dolores Hernando et al. (n=5)",Juliane Hollender; Heinz Singer; Dolores Hernando; Tina Kosjek; Ester Heath,Environmental pollution,https://doi.org/10.1007/978-90-481-3509-7_11,https://openalex.org/W52702999
2009,Identification of Transformation Products of Organic Contaminants in Natural Waters by Computer-Aided Prediction and High-Resolution Mass Spectrometry,"Susanne Kern, Kathrin Fenner, Heinz Singer et al. (n=5)",Susanne Kern; Kathrin Fenner; Heinz Singer; René P. Schwarzenbach; Juliane Hollender,Environmental Science & Technology,https://doi.org/10.1021/es901979h,https://openalex.org/W2049654744
2009,Complementary mass spectrometry and bioassays for evaluating pharmaceutical-transformation products in treatment of drinking water and wastewater,"Jelena Radjenović, Mira Petrović, ‪Damià Barceló",Jelena Radjenović; Mira Petrović; ‪Damià Barceló,TrAC Trends in Analytical Chemistry,https://doi.org/10.1016/j.trac.2009.02.006,https://openalex.org/W1964388411
2010,"Reseña de ""El Estado empresario en la industria argentina: Conformación y crisis"" de Claudio Belini y Marcelo Rougier",Pérez López,Pérez López,América Latina en la Historia Económica. Revista de Investigación,https://doi.org/10.1016/j.chemosphere.2023.140106,https://openalex.org/W37689148
2010,Investigating the biodegradability of perfluorooctanoic acid,"Jr‐Jiun Liou, Bogdan Szostek, Christopher M. DeRito et al. (n=4)",Jr‐Jiun Liou; Bogdan Szostek; Christopher M. DeRito; E. L. Madsen,Chemosphere,https://doi.org/10.1016/j.chemosphere.2010.03.009,https://openalex.org/W2035382121
