year,title,authors_short,all_authors,journal,doi,openalex_id
2000,Fundamentals and Advances of Orbitrap Mass Spectrometry,"Michaela Ščigelová, Alexander Makarov",Michaela Ščigelová; Alexander Makarov,Encyclopedia of Analytical Chemistry,https://doi.org/10.1002/9780470027318.a9309,https://openalex.org/W1512746871
2002,Imagined Olympians: Body Culture and Colonial Representation in Rwanda,John Bale,John Bale,Medical Entomology and Zoology,https://doi.org/10.1016/j.exer.2022.109061,https://openalex.org/W35390333
2005,,Etsuko Yasugi,Etsuko Yasugi,Journal of Lipid Nutrition,https://doi.org/10.4010/jln.14.85,https://openalex.org/W2514364441
2005,Targeted lipidomics: Signaling lipids and drugs of abuse,"Rao S. Rapaka, Daniele Piomelli, Sarah Spiegel et al. (n=5)",Rao S. Rapaka; Daniele Piomelli; Sarah Spiegel; Nicolás G. Bazán; Edward A. Dennis,Prostaglandins & Other Lipid Mediators,https://doi.org/10.1016/j.prostaglandins.2005.06.005,https://openalex.org/W2076012926
2007,"Method for Lipidomic Analysis:  p53 Expression Modulation of Sulfatide, Ganglioside, and Phospholipid Composition of U87 MG Glioblastoma Cells","Huan He, Charles A. Conrad, Carol L. Nilsson et al. (n=7)",Huan He; Charles A. Conrad; Carol L. Nilsson; Yongjie Ji; Tanner Schaub; Alan G. Marshall; Mark R. Emmett,Analytical Chemistry,https://doi.org/10.1021/ac071413m,https://openalex.org/W1998462729
2007,Top-Down Lipidomic Screens by Multivariate Analysis of High-Resolution Survey Mass Spectra,"Dominik Schwudke, J. Thomas Hannich, Vineeth Surendranath et al. (n=8)",Dominik Schwudke; J. Thomas Hannich; Vineeth Surendranath; Vinciane Grimard; Thomas J. Moehring; Lyle Burton; Teymuras V. Kurzchalia; Andrej Shevchenko,Analytical Chemistry,https://doi.org/10.1021/ac062455y,https://openalex.org/W2022787379
2008,Even Electron Mass Spectrometry with Biomolecule Applications,Bryan Ham,Bryan Ham,Medical Entomology and Zoology,,https://openalex.org/W655048115
2009,Electrospray Ionization Fourier Transform Ion Cyclotron Resonance Mass Spectrometry in Biological Applications: Lipids and Proteins,,,DigiNole (Florida State University),,https://openalex.org/W7112074150
2009,Top-Down Lipidomics Reveals Ether Lipid Deficiency in Blood Plasma of Hypertensive Patients,"Juergen Graessler, Dominik Schwudke, Peter E. H. Schwarz et al. (n=6)",Juergen Graessler; Dominik Schwudke; Peter E. H. Schwarz; Ronny Herzog; Andrej Shevchenko; Stefan R. Bornstein,PLoS ONE,https://doi.org/10.1371/journal.pone.0006261,https://openalex.org/W2166628970
2009,"High‐resolution extracted ion chromatography, a new tool for metabolomics and lipidomics using a second‐generation orbitrap mass spectrometer","Albert Koulman, Gary Woffendin, Vinod K. Narayana et al. (n=6)",Albert Koulman; Gary Woffendin; Vinod K. Narayana; Helen Welchman; Catharina Crone; Dietrich A. Volmer,Rapid Communications in Mass Spectrometry,https://doi.org/10.1002/rcm.4015,https://openalex.org/W2165009222
2010,Perturbations in the lipid profile of individuals with newly diagnosed type 1 diabetes mellitus: Lipidomics analysis of a Diabetes Antibody Standardization Program sample subset,"Christina M. Sorensen, Jie Ding, Qibin Zhang et al. (n=8)",Christina M. Sorensen; Jie Ding; Qibin Zhang; Thierry Alquier; Rui Zhao; Patricia W. Mueller; Richard Smith; Thomas Metz,Clinical Biochemistry,https://doi.org/10.1016/j.clinbiochem.2010.04.075,https://openalex.org/W1993305379
2010,Precise and global identification of phospholipid molecular species by an Orbitrap mass spectrometer and automated search engine Lipid Search,"Ryo Taguchi, Masaki Ishikawa",Ryo Taguchi; Masaki Ishikawa,Journal of Chromatography A,https://doi.org/10.1016/j.chroma.2010.04.034,https://openalex.org/W1982555544
2010,Software tool for mining liquid chromatography/multi‐stage mass spectrometry data for comprehensive glycerophospholipid profiling,"Eva‐Maria Hein, Bertram Bödeker, Jürgen Nolte et al. (n=4)",Eva‐Maria Hein; Bertram Bödeker; Jürgen Nolte; Heiko Hayen,Rapid Communications in Mass Spectrometry,https://doi.org/10.1002/rcm.4614,https://openalex.org/W2013581823
2010,Profiling of lipids in <i>Leishmania donovani</i> using hydrophilic interaction chromatography in combination with Fourier transform mass spectrometry,"Liang Zheng, Ruben T'Kind, Saskia Decuypere et al. (n=6)",Liang Zheng; Ruben T'Kind; Saskia Decuypere; Simona John von Freyend; Graham H. Coombs; David G. Watson,Rapid Communications in Mass Spectrometry,https://doi.org/10.1002/rcm.4618,https://openalex.org/W2089327460
2011,Qualitative and quantitative analysis of ceramide species in biological samples in an untargeted lipidomic profiling platform by high resolution LC-MS,"李佳, 赵欣捷, 胡春秀 et al. (n=6)",李佳; 赵欣捷; 胡春秀; 陈世礼; 周丽娜; 许国旺,,,https://openalex.org/W2415041341
2011,Bottom-Up Shotgun Lipidomics by Higher Energy Collisional Dissociation on LTQ Orbitrap Mass Spectrometers,"Kai Schuhmann, Ronny Herzog, Dominik Schwudke et al. (n=6)",Kai Schuhmann; Ronny Herzog; Dominik Schwudke; Wolfgang Metelmann-Strupat; Stefan R. Bornstein; Andrej Shevchenko,Analytical Chemistry,https://doi.org/10.1021/ac102505f,https://openalex.org/W2335725835
2011,Lipidomics: What does the future hold?,Anna Nicolaou,Anna Nicolaou,European Journal of Lipid Science and Technology,https://doi.org/10.1002/ejlt.201100117,https://openalex.org/W2017497567
2011,Quantitative profiling of phosphatidylethanol molecular species in human blood by liquid chromatography high resolution mass spectrometry,"Alessandro Nalesso, Guido Viel, Giovanni Cecchetto et al. (n=7)",Alessandro Nalesso; Guido Viel; Giovanni Cecchetto; Davide Mioni; Gloria Pessa; Donata Favretto; Santo Davide Ferrara,Journal of Chromatography A,https://doi.org/10.1016/j.chroma.2011.09.068,https://openalex.org/W2047900500
2011,Analysis of low molecular weight compounds by MALDI-FTICR-MS,"Haoyang Wang, Chu Xu, Zhixiong Zhao et al. (n=5)",Haoyang Wang; Chu Xu; Zhixiong Zhao; Xiaoshuang He; Yinlong Guo,Journal of Chromatography B,https://doi.org/10.1016/j.jchromb.2011.03.037,https://openalex.org/W1988866684
2011,A comprehensive method for lipid profiling by liquid chromatography-ion cyclotron resonance mass spectrometry,"Alexander Fauland, Harald Köfeler, Martin Trötzmüller et al. (n=9)",Alexander Fauland; Harald Köfeler; Martin Trötzmüller; Astrid Knopf; Jürgen Hartler; Anita Eberl; Chandramohan Chitraju; Ernst Lankmayr; Friedrich Spener,Journal of Lipid Research,https://doi.org/10.1194/jlr.d016550,https://openalex.org/W2143481724
2011,Spatial Distribution of Glycerophospholipids in the Ocular Lens,"Jaroslav Pól, Veronika Vidová, Tuulia Hyötyläinen et al. (n=10)",Jaroslav Pól; Veronika Vidová; Tuulia Hyötyläinen; Michael Volný; Petr Novák; Martin Strohalm; Risto Kostiainen; Vladimı́r Havlı́ček; Susanne Κ. Wiedmer; Juha M. Holopainen,PLoS ONE,https://doi.org/10.1371/journal.pone.0019441,https://openalex.org/W1968216553
2011,Plasma and Liver Lipidomics Response to an Intervention of Rimonabant in ApoE*3Leiden.CETP Transgenic Mice,"Chunxiu Hu, Heng Wei, Anita M. van den Hoek et al. (n=14)",Chunxiu Hu; Heng Wei; Anita M. van den Hoek; Mei Wang; Rob van der Heijden; Gerwin Spijksma; Theo Reijmers; Jildau Bouwman; Suzan Wopereis; Louis M. Havekes; Elwin Verheij; Thomas Hankemeier; Guowang Xu; J. van der Greef,PLoS ONE,https://doi.org/10.1371/journal.pone.0019423,https://openalex.org/W2077036335
2012,Applying Q Exactive Benchtop Orbitrap LC-MS/MS and SIEVE Software for Cutting Edge Metabolomics and Lipidomics Research,"Michael Athanas, David A. Peake, Mark Dreyer et al. (n=6)",Michael Athanas; David A. Peake; Mark Dreyer; Mark Sanders; Jessica Wang; Yingying Huang,,,https://openalex.org/W2186133480
2012,Characterization of microalgal lipid feedstock by direct-infusion FT-ICR mass spectrometry,"F. Omar Holguín, Tanner Schaub",F. Omar Holguín; Tanner Schaub,Algal Research,https://doi.org/10.1016/j.algal.2012.11.005,https://openalex.org/W1969119657
2012,Shotgun lipidomics on a LTQ Orbitrap mass spectrometer by successive switching between acquisition polarity modes,"Kai Schuhmann, Reinaldo Almeida, Mark Baumert et al. (n=6)",Kai Schuhmann; Reinaldo Almeida; Mark Baumert; Ronny Herzog; Stefan R. Bornstein; Andrej Shevchenko,Journal of Mass Spectrometry,https://doi.org/10.1002/jms.2031,https://openalex.org/W1569454591
2012,Comparative Lipidomic Profiling of S. cerevisiae and Four Other Hemiascomycetous Yeasts,"Eva‐Maria Hein, Heiko Hayen",Eva‐Maria Hein; Heiko Hayen,Metabolites,https://doi.org/10.3390/metabo2010254,https://openalex.org/W2025576437
2012,Shotgun lipidomics of metabolic disorders by high resolution mass spectrometry,Kai Schuhmann,Kai Schuhmann,Qucosa (Saxon State and University Library Dresden),,https://openalex.org/W302965751
