year,title,authors_short,all_authors,journal,doi,openalex_id
2008,MALDI-FTICR Imaging Mass Spectrometry of Drugs and Metabolites in Tissue,"Dale S. Cornett, Sara L. Frappier, Richard M. Caprioli",Dale S. Cornett; Sara L. Frappier; Richard M. Caprioli,Analytical Chemistry,https://doi.org/10.1021/ac800617s,https://openalex.org/W2165553407
2008,"Fourier Transform Ion Cyclotron Resonance Mass Spectrometry. Development of instrumentation, data aquisition software and processing methods",Ioana Barbu,Ioana Barbu,Data Archiving and Networked Services (DANS),,https://openalex.org/W1541730186
2008,A high‐resolution scanning microprobe matrix‐assisted laser desorption/ionization ion source for imaging analysis on an ion trap/Fourier transform ion cyclotron resonance mass spectrometer,"Martin Koestler, Dieter Kirsch, Alfons Hester et al. (n=6)",Martin Koestler; Dieter Kirsch; Alfons Hester; Arne Leisner; Sabine Guenther; Bernhard Spengler,Rapid Communications in Mass Spectrometry,https://doi.org/10.1002/rcm.3733,https://openalex.org/W2048474321
2009,Создание новых типов молочного скота и эффективность их разведения в условиях Сибири,"В. А. Солошенко, И. И. Клименок",В. А. Солошенко; И. И. Клименок,Achievements of Science and Technology in Agro-Industrial Complex,https://doi.org/10.1021/acs.analchem.6b00460,https://openalex.org/W27065343
2009,Automated Ambient Desorption−Ionization Platform for Surface Imaging Integrated with a Commercial Fourier Transform Ion Cyclotron Resonance Mass Spectrometer,"Jaroslav Pól, Veronika Vidová, Gary Kruppa et al. (n=10)",Jaroslav Pól; Veronika Vidová; Gary Kruppa; Václav Kobliha; Petr Novák; Karel Lemr; Tapio Kotiaho; Risto Kostiainen; Vladimı́r Havlı́ček; Michael Volný,Analytical Chemistry,https://doi.org/10.1021/ac901368q,https://openalex.org/W1976713468
2009,A mass spectrometry based imaging method developed for the intracellular detection of HIV protease inhibitors,"Lennard J. M. Dekker, Jeroen J. A. van Kampen, Mariska L. Reedijk et al. (n=7)",Lennard J. M. Dekker; Jeroen J. A. van Kampen; Mariska L. Reedijk; Peter C. Burgers; Rob A. Gruters; Albert D. M. E. Osterhaus; Theo M. Luider,Rapid Communications in Mass Spectrometry,https://doi.org/10.1002/rcm.3981,https://openalex.org/W2069705202
2010,Electrospray and MALDI Mass Spectrometry,,,,https://doi.org/10.1002/9780470588901,https://openalex.org/W644928557
2010,The Vanderbilt Mass Spectrometry Shared Facilities,"Friedman Db, Reyzer Ml, Seeley Eh et al. (n=7)",Friedman Db; Reyzer Ml; Seeley Eh; Calcutt Mw; Hachey Dl; Caprioli Rm; McDonald Wh,Journal of Biomolecular Techniques JBT,,https://openalex.org/W1460771122
2010,Visualizing spatial lipid distribution in porcine lens by MALDI imaging high-resolution mass spectrometry,"Veronika Vidová, Jaroslav Pól, Michael Volný et al. (n=7)",Veronika Vidová; Jaroslav Pól; Michael Volný; Petr Novák; Vladimı́r Havlı́ček; Susanne Κ. Wiedmer; Juha M. Holopainen,Journal of Lipid Research,https://doi.org/10.1194/jlr.m005488,https://openalex.org/W2067095573
2010,High‐resolution tissue imaging on an orbitrap mass spectrometer by desorption electrospray ionization mass spectrometry,"Nicholas E. Manicke, Allison L. Dill, Demian R. Ifa et al. (n=4)",Nicholas E. Manicke; Allison L. Dill; Demian R. Ifa; R. Graham Cooks,Journal of Mass Spectrometry,https://doi.org/10.1002/jms.1707,https://openalex.org/W2094619602
2010,Essential tactics of tissue preparation and matrix nano-spotting for successful compound imaging mass spectrometry,"Ákos Végvári, Thomas E. Fehniger, Lena Gustavsson et al. (n=9)",Ákos Végvári; Thomas E. Fehniger; Lena Gustavsson; Anna Nilsson; Per E. Andrén; Kerstin Kenne; Johan Nilsson; Thomas Laurell; György Marko‐Varga,Journal of Proteomics,https://doi.org/10.1016/j.jprot.2010.02.021,https://openalex.org/W2140769588
