year,title,authors_short,all_authors,journal,doi,openalex_id
2005,"Cartier: Philippe Guillaumet, consejero delegado de richemont iberia y director general de Cartier España",Begoña Calzón,Begoña Calzón,Dinero: inteligencia empresarial,https://doi.org/10.4014/jmb.2306.06014,https://openalex.org/W37435870
2005,Pseudopolyarthrite rhizomélique. À début précoce,"Fatiha Bzami, R. Bahiri, Karima Benbouazza et al. (n=5)",Fatiha Bzami; R. Bahiri; Karima Benbouazza; F.Z. Abourazzak; N. Hajjaj‐Hassouni,La Revue de Médecine Interne,https://doi.org/10.1016/j.revmed.2004.12.011,https://openalex.org/W143166146
2007,"Glycoprofiling of Bifidobacterial Consumption of Human Milk Oligosaccharides Demonstrates Strain Specific, Preferential Consumption of Small Chain Glycans Secreted in Early Human Lactation","Riccardo G. LoCascio, Milady R. Niñonuevo, Samara L. Freeman et al. (n=8)",Riccardo G. LoCascio; Milady R. Niñonuevo; Samara L. Freeman; David A. Sela; Rudolf Grimm; Carlito B. Lebrilla; David A. Mills; J. Bruce German,Journal of Agricultural and Food Chemistry,https://doi.org/10.1021/jf0710480,https://openalex.org/W2073692430
2012,Ultrahigh Resolution Mass Spectrometry Based Non-targeted Microbial Metabolomics,"Michael Witting, Marianna Lucio, Dimitrios Tziotis et al. (n=4)",Michael Witting; Marianna Lucio; Dimitrios Tziotis; Philippe Schmitt‐Kopplin,,https://doi.org/10.1007/978-1-4614-1689-0_5,https://openalex.org/W12830778
2012,Gut microbiota disturbance during antibiotic therapy: a multi-omic approach,"Ana Elena Pérez‐Cobas, María José Gosalbes, Anette Friedrichs et al. (n=20)",Ana Elena Pérez‐Cobas; María José Gosalbes; Anette Friedrichs; Henrik Knecht; Alejandro Artacho; Kathleen Eismann; Wolfgang Otto; David Rojo; Rafael Bargiela; Martin von Bergen�; Sven C. Neulinger; Carolin Däumer; Femke‐Anouska Heinsen; Amparo Latorre; Coral Barbas; Jana Seifert; Vítor A. P. Martins dos Santos; S. Ott; Manuel Ferrer; Andrés Moyá,Gut,https://doi.org/10.1136/gutjnl-2012-303184,https://openalex.org/W2133211145
2012,The Response of Human Skin Commensal Bacteria as a Reflection of UV Radiation: UV-B Decreases Porphyrin Production,"Yanhan Wang, Wenhong Zhu, Muya Shu et al. (n=7)",Yanhan Wang; Wenhong Zhu; Muya Shu; Yong Jiang; Richard L. Gallo; Yu-Tsueng Liu; Chun‐Ming Huang,PLoS ONE,https://doi.org/10.1371/journal.pone.0047798,https://openalex.org/W2068985515
2013,Children with severe asthma have unique oxidative stress–associated metabolomic profiles,"Anne M. Fitzpatrick, Youngja Park, Lou Ann S. Brown et al. (n=4)",Anne M. Fitzpatrick; Youngja Park; Lou Ann S. Brown; Dean P. Jones,Journal of Allergy and Clinical Immunology,https://doi.org/10.1016/j.jaci.2013.10.012,https://openalex.org/W2167443560
2013,Identification of Putative Steroid Receptor Antagonists in Bottled Water: Combining Bioassays and High-Resolution Mass Spectrometry,"Martin Wagner, Michael P. Schlüsener, Thomas A. Ternes et al. (n=4)",Martin Wagner; Michael P. Schlüsener; Thomas A. Ternes; Jörg Oehlmann,PLoS ONE,https://doi.org/10.1371/journal.pone.0072472,https://openalex.org/W2151410387
2014,Importance of Sulfur-Containing Metabolites in Discriminating Fecal Extracts between Normal and Type-2 Diabetic Mice,"Alesia Walker, Marianna Lucio, Barbara Pfitzner et al. (n=8)",Alesia Walker; Marianna Lucio; Barbara Pfitzner; Markus F. Scheerer; Susanne Neschen; Martin Hrabě de Angelis; Anton Hartmann; Philippe Schmitt‐Kopplin,Journal of Proteome Research,https://doi.org/10.1021/pr500046b,https://openalex.org/W2324069212
2014,Rapid and Sustained Systemic Circulation of Conjugated Gut Microbial Catabolites after Single-Dose Black Tea Extract Consumption,"John van Duynhoven, Justin J. J. van der Hooft, Ferdinand A. van Dorsten et al. (n=9)",John van Duynhoven; Justin J. J. van der Hooft; Ferdinand A. van Dorsten; Sonja Peters; Martin Foltz; Maria Victoria Gómez Roldán; Jacques Vervoort; Ric C. H. de Vos; Doris M. Jacobs,Journal of Proteome Research,https://doi.org/10.1021/pr5001253,https://openalex.org/W2009509361
