year,title,authors_short,all_authors,journal,doi,openalex_id
2000,Applications of hyphenated LC‐MS techniques in pharmaceutical analysis,"Joachim Ermer, Martin Vogel",Joachim Ermer; Martin Vogel,Biomedical Chromatography,https://doi.org/10.1002/1099-0801(200010)14:6<373::aid-bmc29>3.3.co;2-j,https://openalex.org/W4248471896
2000,Chromatographic analysis of bisphosphonates,"Rolf W. Sparidans, Jan den Hartigh, Serge Cremers et al. (n=4)",Rolf W. Sparidans; Jan den Hartigh; Serge Cremers; Pieter Vermeij,Journal of Chromatography A,https://doi.org/10.1016/s0021-9673(99)01233-9,https://openalex.org/W2079497737
2003,Control social de la administración y transparencia,Carlos E. Delpiazzo,Carlos E. Delpiazzo,Ius Publicum,https://doi.org/10.1016/j.jpba.2021.114385,https://openalex.org/W34597841
2004,ExxonMobil expands plasticizer production in Asia Pacific,,,Additives for Polymers,https://doi.org/10.1016/s0306-3747(04)00195-2,https://openalex.org/W4247897362
2004,Structural study of spirolide marine toxins by mass spectrometry,"Lekha Sleno, Anthony Windust, Dietrich A. Volmer",Lekha Sleno; Anthony Windust; Dietrich A. Volmer,Analytical and Bioanalytical Chemistry,https://doi.org/10.1007/s00216-003-2297-z,https://openalex.org/W2582163239
2004,The Application of Modern Mass Spectrometry Techniques in the Research of Natural Medicines Structure and Drug Metabolite,Zhiqing Liu,Zhiqing Liu,Journal of Instrumental Analysis,,https://openalex.org/W2386862539
2004,Triple quadrupole linear ion trap mass spectrometer for the analysis of small molecules and macromolecules,"Gérard Hopfgartner, Emmanuel Varesio, Viviane Tschäppät et al. (n=6)",Gérard Hopfgartner; Emmanuel Varesio; Viviane Tschäppät; Chantal Grivet; E. Bourgogne; Luc Alexis Leuthold,Journal of Mass Spectrometry,https://doi.org/10.1002/jms.659,https://openalex.org/W2109474157
2005,Integrated Strategies for Drug Discovery Using Mass Spectrometry,Mike S. Lee,Mike S. Lee,,,https://openalex.org/W1240242585
2006,Utility of the Hybrid LTQ-FTMS for Drug Metabolism Applications,"Mark Sanders, Petia Shipkova, Haiying Zhang et al. (n=4)",Mark Sanders; Petia Shipkova; Haiying Zhang; Bethanne M. Warrack,Current Drug Metabolism,https://doi.org/10.2174/138920006777697972,https://openalex.org/W2105709722
2006,[Special Issue: Fact Databases and Freewares] Integrated Data Mining of Transcriptome and Metabolome Based on BL-SOM,"Mitsuru Yano, Shigehiko Kanaya, Md. Altaf‐Ul‐Amin et al. (n=6)",Mitsuru Yano; Shigehiko Kanaya; Md. Altaf‐Ul‐Amin; Ken Kurokawa; Masami Yokota Hirai; Kazuki Saito,Journal of Computer Aided Chemistry,https://doi.org/10.2751/jcac.7.125,https://openalex.org/W2060389099
