year,title,authors_short,all_authors,journal,doi,openalex_id
2000,Treatment news bulletin,,,Current Treatment Options in Neurology,https://doi.org/10.1007/s11940-000-0018-x,https://openalex.org/W2412862459
2000,Proteome analysis using selective incorporation of isotopically labeled amino acids,"Timothy D. Veenstra, Suzana Martinović, Gordon Anderson et al. (n=5)",Timothy D. Veenstra; Suzana Martinović; Gordon Anderson; Ljiljana Paša‐Tolić; Richard Smith,Journal of the American Society for Mass Spectrometry,https://doi.org/10.1016/s1044-0305(99)00120-8,https://openalex.org/W2003964437
2000,Fourier transform ion cyclotron resonance mass spectrometry as a high throughput affinity screen to identify RNA binding ligands,"Kristin A. Sannes‐Lowery, Jared J. Drader, Richard H. Griffey et al. (n=4)",Kristin A. Sannes‐Lowery; Jared J. Drader; Richard H. Griffey; Steven A. Hofstadler,TrAC Trends in Analytical Chemistry,https://doi.org/10.1016/s0165-9936(00)00029-7,https://openalex.org/W2047334814
2001,Tandem Mass Spectrometry of Intact Proteins for Characterization of Biomarkers from <i>Bacillus </i><i>c</i><i>ereus </i><i>T </i>Spores,"Plamen A. Demirev, Javier A. Ramírez, Catherine Fenselau",Plamen A. Demirev; Javier A. Ramírez; Catherine Fenselau,Analytical Chemistry,https://doi.org/10.1021/ac010672n,https://openalex.org/W1991285306
2001,Rapid quantitative measurements of proteomes by Fourier transform ion cyclotron resonance mass spectrometry,"Richard Smith, Ljiljana Paša‐Tolić, Mary Lipton et al. (n=12)",Richard Smith; Ljiljana Paša‐Tolić; Mary Lipton; Pamela K. Jensen; Gordon Anderson; Yufeng Shen; Thomas P. Conrads; Harold R. Udseth; Richard Harkewicz; Mikhail E. Belov; Christophe Masselon; Timothy D. Veenstra,Electrophoresis,https://doi.org/10.1002/1522-2683(200105)22:9<1652::aid-elps1652>3.0.co;2-e,https://openalex.org/W2054380340
2001,Selective incorporation of isotopically labeled amino acids for identification of intact proteins on a proteome‐wide level,"Suzana Martinović, Timothy D. Veenstra, Gordon Anderson et al. (n=5)",Suzana Martinović; Timothy D. Veenstra; Gordon Anderson; Ljiljana Paša‐Tolić; Richard Smith,Journal of Mass Spectrometry,https://doi.org/10.1002/jms.263,https://openalex.org/W2160735962
2001,Aberrant mobility phenomena of the DNA repair protein XPA,"Lilia M. Iakoucheva, Amy Kimzey, Christophe Masselon et al. (n=6)",Lilia M. Iakoucheva; Amy Kimzey; Christophe Masselon; Richard Smith; A. Keith Dunker; Eric J. Ackerman,Protein Science,https://doi.org/10.1110/ps.ps.40101,https://openalex.org/W2114524564
2002,Capillary Electrophoresis and Electron Capture Dissociation Fourier Transform Ion Cyclotron Resonance Mass Spectrometry for Peptide Mixture and Protein Digest Analysis,"Yury O. Tsybin, P. Håkansson, Magnus Wetterhall et al. (n=5)",Yury O. Tsybin; P. Håkansson; Magnus Wetterhall; Karin E. Markides; Jonas Bergquist,European Journal of Mass Spectrometry,https://doi.org/10.1255/ejms.514,https://openalex.org/W2110414881
2002,‘Top down’ protein characterization via tandem mass spectrometry,"Gavin E. Reid, Scott A. McLuckey",Gavin E. Reid; Scott A. McLuckey,Journal of Mass Spectrometry,https://doi.org/10.1002/jms.346,https://openalex.org/W2153180430
2002,Peptide mapping of proteins in human body fluids using electrospray ionization Fourier transform ion cyclotron resonance mass spectrometry,"Jonas Bergquist, Magnus Palmblad, Magnus Wetterhall et al. (n=5)",Jonas Bergquist; Magnus Palmblad; Magnus Wetterhall; P. Håkansson; Karin E. Markides,Mass Spectrometry Reviews,https://doi.org/10.1002/mas.10016,https://openalex.org/W1986124354
